Wave,Period,Major Variant
First Wave,Mar 2020 - Aug 2020,Original
Second Wave,Sep 2020 - Feb 2021,Alpha
Third Wave,Mar 2021 - Aug 2021,Delta
Omicron Wave,Dec 2021 - Mar 2022,Omicron
